OriginalFoodCode,OriginalFoodName,EnglishFoodName,ScientificFoodName,OtherFoodNames,OriginalFoodGroupCode,FoodGroupIS1,FoodGroupIS2,FoodGroupIS3,CodexFoodStandards,ArticleNumber,E_number,INS_code,LangualCodes,CODEXAdditives,CODEXFood,CODEXContaminants,FAOBalanceSheet,CIAAFood,EuroCode2,AgriculturalConditions,Cuisine,EdiblePortion,WastePortion,NatureofEdiblePortion,NatureofWaste,TypicalServingSize,TypicalWeightperPiece,Colour,FinalPreparation,SpecificGravity,NitrogenProteinFactor,FattyAcidFactor,GenericImage,SpecificImage,Producer,Distributor,Retailer,AreaOfOrigin,AreaOfProcessing,AreaofConsumption,WebPublishReady,ListOfIngredients,Remarks,DateOfGeneration,GeneratedBy,DateOfUpdate,UpdatedBy
0560,"RAUÐKÁL, soðið","Cabbage, red, boiled",Brassica oleracea var. capitata,,05.02,5,2,33,,,,,A0152 A0826 B2072 C0151 E0152 F0014 G0014 H0003 J0003 K0003 M0001 N0001 P0024,,,,,,,,,100,0,,,,,,,,0.000,0.000,,,,,,,,,J,,,1993-03-29 00:00:00.0,ÓR,2009-01-01 00:00:00.0,ÓR
1131,"STOÐMJÓLK, vítamín- og steinefnabætt, fyrir börn 0,5-2 ára","Milk, fortified, for children 0,5-2 year",,,01.01,1,1,,,,,,A0148 A0780 B1201 C0235 E0123 F0018 G0003 H0157 H0162 H0181 H0213 H0214 H0215 H0217 J0135 K0003 M0001 N0001 P0020 P0024,,,,,,,,,100,0,,,,,,,,6.380,0.945,,,,,,,,,J,,,2003-09-11 00:00:00.0,ÓR,2010-05-15 11:20:24.0,
0881,"SMJÖRLÍKI, Ljóma","Margarine, Ljóma",,,10.05,10,5,17,,,,,A0231 A0807 B1017 C0190 E0119 F0014 G0003 H0174 H0306 H0358 J0100 K0003 M0001 N0001 P0024,,,,,,,,,100,0,,,,,,,,6.380,0.956,,,Kjarnavörur,,,,,,J,,,1997-02-26 00:00:00.0,ÓR,2010-01-25 09:34:57.0,
0182,"SALTFISKUR, tandurfiskur, hrár","Salted cod, lightly salted, raw",,,08.04,8,4,13,,,,,A0267 A0803 B1842 C0267 E0150 F0003 G0003 H0173 J0139 K0001 M0001 N0001 P0024 R0135,,,,,,,,,100,0,,,,,,,,0.000,0.000,,,,,,,,,N,,Léttsaltaður,2001-12-20 00:00:00.0,ÓR,2010-04-21 05:14:01.0,
0012,"ÞORSKUR, stirtlur, hráar","Cod tails, raw",,,08.01,8,1,13,,,,,A0267 A0802 B1842 C0268 E0150 F0003 G0003 H0003 J0003 K0001 M0001 N0001 P0024 R0135,,,,,,,,,100,0,,,,,,,,6.250,0.000,,,,,,,,,N,,Þorsksporðar,1987-08-07 00:00:00.0,ÓR,2009-01-01 00:00:00.0,ÓR
0391,KJÖTSOÐ,Meat broth,,,15.02,15,2,53,,,,,A0243 A0865 B1134 C0170 E0109 F0014 G0014 H0001 J0001 K0001 M0001 N0001 P0024,,,,,,,,,100,0,,,,,,,,0.000,0.956,,,,,,,,,J,,,1996-11-23 00:00:00.0,ÓR,2010-05-15 09:07:58.0,
0428,"HVEITIKORN, heil","Wheat, kernels, whole/cracked",Triticum aestivum,,04.01,4,1,23,,,,,A0149 A0814 B1312 C0133 E0150 F0003 G0003 H0138 J0003 K0003 M0001 N0001 P0024,,,,,,,,,100,0,,,,,,,,5.830,0.720,,,,,,,,,J,,Heil eða brotin,1996-11-23 00:00:00.0,ÓR,2009-01-01 00:00:00.0,ÓR
1256,"TYGGIGÚMMÍ, án sykurs",Chewing gum,,,11.03,11,3,,,,,,,,,,,,,,,8,,,,,,,,,0.000,0.000,,,,,,,,,N,,"Innihald í Wrigleys Extra tyggigúmmíi:
Sætuefni eru xylitol 35%, sorbitol, mannitol, aspartam, asesúlfam K.",2010-09-03 15:57:07.793,,2011-05-04 12:12:55.0,
0117,ÞORSKALÝSI,Cod liver oil,,,10.02,10,2,13,,,,,A0129 A0811 B1835 C0301 E0123 F0014 G0003 H0197 H0206 H0270 J0131 J0173 K0031 M0134 N0040 P0024 P0124 R0135,,,,,,,,,100,0,,,,,,,,6.250,0.956,,,,,,,,,J,,Með eða án bragðefna,1996-11-23 00:00:00.0,ÓR,2009-01-01 00:00:00.0,ÓR
0508,"OSTUR, kotasæla með ananas","Cheese, cottage, with ananas",,,02.01,2,1,4,,,,,A0185 A0786 B1201 C0245 E0134 F0003 G0003 H0101 H0184 H0364 J0151 K0003 M0001 N0001 P0024,,,,,,,,,100,0,,,,,,,,6.380,0.945,,,,,,,,,J,,Ferskostur með ananas,1992-02-24 00:00:00.0,ÓR,2009-01-01 00:00:00.0,ÓR
0810,LÉTTSÚRMJÓLK,"Milk, cultured, low fat",,,01.02,1,2,1,,,,,A0101 A0783 B1201 C0235 E0139 F0018 G0003 H0107 H0247 J0135 K0003 M0156 N0001 P0024,,,,,,,,,100,0,,,100,,,,,0.000,0.000,,,,,,,,,J,,Skammtur: 1 dl.,1996-04-19 00:00:00.0,ÓR,2010-05-15 09:47:51.0,
1219,"KLEINUR, Ömmubakstur","Cruller, deep fried",,,04.06,4,6,21,,,,,,,,,,,,,,100,,,,,,,,,5.700,0.930,,,Ömmubakstur,Ömmubakstur,Verslanir,,,,N,,"Djúpsteiktar. **Fitusýruflokkar skráðir, eftir að skrá fitusúrur nema C18:2 og 3.",2010-01-24 17:49:17.643,,2011-04-08 08:44:19.0,
1098,"ÍÞRÓTTADRYKKUR, Powerade","Sport drink, Powerade",,,12.05,12,5,,,,,,A0241 A0871 B1217 C0005 E0130 F0001 G0003 H0749 J0001 K0003 M0172 N0036 P0024,,,,,,,,,100,0,,,,,,,,0.000,0.000,,,The Coca Cola Company,,,,,,J,,"Powerade: Blár litur á drykk. 
Innihald: Vatn, dextrósi, maltódextrín, sýrustillar (sítrónusýra, sítrat), bindiefni (E414,E445), sætuefni (aspartam, asesúlfam K), litarefni (E133).",2002-07-21 00:00:00.0,ÓR,2011-05-04 10:47:30.0,
0877,"JURTAOLÍA, meðalsamsetning","Vegetable oil, average values",,,10.01,10,1,,,,,,A0129 A0806 B1017 C0190 E0123 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024,,,,,,,,,100,0,,,,,,,,0.000,0.000,,,,,,,,,J,,Vegin meðaltöl fyrir seldar jurtaolíur 2007.,2002-08-02 00:00:00.0,ÓR,2011-02-26 05:21:56.0,
0964,"ÍÞRÓTTADRYKKUR, Prímus, vanilla og jarðarber","Sport drink, Primus, with vanilla and strawberry",,,12.05,12,5,,,,,,,,,,,,,,,100,0,,,,,,,,0.000,0.000,,,,,,,,,N,,Með vanillu - eða jarðarberjabragði,2001-05-24 00:00:00.0,ÓR,2010-05-18 01:03:26.0,
1240,"ÁVAXTASAFI, þykkur, Trópí","Fruit smoothie, Trópí",,Ávaxta Smoothie,12.04,12,4,,,,,,,,,,,,,,,100,,,,330,,,,,0.000,0.000,,,Vífilfell hf,,,,,,J,,"Skammtur: 1 flaska 330 ml.
Innihald: Ávaxtasafi úr þykkni, ávaxtamauk, maístrefjar, gulrótaþykkni, bragðefni. Uppskrift: U35",2010-03-06 13:27:47.73,,2011-01-27 06:17:39.0,
0799,"HVÍTVÍN, þurrt","Wine, white, dry",,,12.07,12,7,33,,,,,A0299 A0849 B1329 C0140 E0123 F0003 G0003 H0232 J0104 K0003 M0130 N0040 P0024,,,,,,,,,100,0,,,,,,,,0.000,0.000,,,,,,,,,J,,,1993-05-26 00:00:00.0,ÓR,2009-01-01 00:00:00.0,ÓR
0873,"OSTUR, Brie, 17% fita","Cheese, Brie, fat 17%",,,02.01,2,1,4,,,,,A0314 B1201 C0245 E0105 F0003 G0003 H0107 H0253 H0298 H0327 H0330 J0104 J0131 J0151 K0003 M0001 N0001 P0024,,,,,,,,,100,0,,,,,,,,6.380,0.945,,,,,,,,,J,,,1996-06-21 00:00:00.0,ÓR,2009-01-01 00:00:00.0,ÓR
1004,"SÓSA, súrsæt, Uncle Ben's","Sauce, sweet & sour, Uncle Bens",,,15.01,15,1,,,,,,,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,J,,,2001-05-24 00:00:00.0,ÓR,2009-01-01 00:00:00.0,ÓR
0785,"SARDÍNUR, niðursoðnar, í tómatsósu","Sardine, canned, in tomato sauce",Clupeidae,,08.05,8,5,13,,,,,A0267 A0803 B1558 C0265 E0131 F0014 G0003 H0350 J0123 K0037 M0151 N0024 P0024,,,,,,,,,100,0,,,,,,,,0.000,0.000,,,,,,,,,J,,,1992-04-04 00:00:00.0,ÓR,2009-01-01 00:00:00.0,ÓR
0832,"HAMBORGARI, steiktur, án brauðs","Hamburger, without bread, fried",,,07.02,7,2,6,,,,,A0150 A0794 B1161 C0268 E0117 F0014 G0025 H0003 H0263 J0001 K0003 M0001 N0001 P0024,,,,,,,,,100,0,,,,,,,,6.250,0.000,,,,,,,,,J,,M. steikingarfeiti.,2003-08-22 00:00:00.0,ÓR,2009-01-01 00:00:00.0,ÓR
1102,"KJÖTBOLLUR, fars-, steiktar, Goða","Meat bolls, fried, Goda",,,07.08,7,8,,,,,,A0150 A0799 B2243 C0269 E0147 F0014 G0025 H0151 H0184 H0186 H0306 J0131 K0003 M0001 N0001 P0024,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,N,,"Innih.: Lambakjöt, vatn, sojaprót..",2002-08-20 00:00:00.0,ÓR,2009-01-01 00:00:00.0,ÓR
0904,"BÆTIEFNI, járntöflur, 100 mg","Iron capsule, 100 mg",,,17.01,17,1,,,,,,,,,,,,,,,100,0,,,,,,,,0.000,0.000,,,,,,,,,N,,INNIHALD Í TÖFLU,2002-01-23 00:00:00.0,ÓR,2010-05-15 12:14:05.0,
0166,"OSTUR, Camembert","Cheese, Camembert",,,02.01,2,1,4,,,,,A0314 B1201 C0245 E0105 F0003 G0003 H0107 H0253 H0298 H0327 H0330 J0104 J0131 J0151 K0003 M0001 N0001 P0024,,,,,,,,,100,0,,,,,,,,6.380,0.860,,,,,,,,,J,,,1996-11-24 00:00:00.0,ÓR,2009-01-01 00:00:00.0,ÓR
0957,"ÞORSKALÝSI, krakkalýsi","Cod liver oil, for children",,,10.02,10,2,13,,,,,A0129 A0811 B1835 C0301 E0123 F0014 G0003 H0197 H0206 H0270 J0131 J0173 K0031 M0134 N0040 P0024 P0124 R0135,,,,,,,,,100,0,,,,,,,,6.250,0.956,,,Lýsi hf.,,,,,,J,,"Gildi á umbúðum umreiknuð í g (1ml=0,92g).",2001-05-24 00:00:00.0,ÓR,2011-02-28 03:16:02.0,
0732,KRÆKIBERJASAFT,Crow berries juice with sugar,,,12.03,12,3,33,,,,,A0127 A0834 B1231 C0300 E0102 F0014 G0003 H0136 J0123 K0003 M0194 N0001 P0024,,,,,,,,,100,0,,,,,,,,0.000,0.000,,,,,,,,,J,,"Óþynnt, 28% sykur",1992-03-06 00:00:00.0,ÓR,2009-01-01 00:00:00.0,ÓR
0956,"BORÐSMJÖRLÍKI, Plús-3","Table margarine, Plús-3",,,10.05,10,5,,,,,,A0294 A0807 B1017 C0190 E0119 F0014 G0003 H0117 H0174 H0306 H0358 J0100 K0003 M0001 N0001 P0024,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,N,,"Úr mjólkurfitu, rapsolíu, fiskiolíu",2002-02-14 00:00:00.0,ÓR,2009-01-01 00:00:00.0,ÓR
0844,"SÓSA, MAJONES-, pítusósa, án eggja, 28% fita","Sauce, pita sauce, witout eggs, fat 28%",,,15.01,15,1,28,,,,,,,,,,,,,,100,0,,,,,,,,0.000,0.000,,,,,,,,,J,,,2009-03-23 00:00:00.0,ÓR,2011-03-26 06:33:54.0,
0253,LAUFABRAUÐ,"Thin wheat bread, deep fried",,,04.04,4,4,21,,,,,A0242 A0819 B1312 C0208 E0153 F0014 G0029 H0351 J0116 K0003 M0001 N0001 P0024,,,,,,,,,100,0,,,,,,,,5.700,0.956,,,,,,,,,J,,Djúpsteikt,1988-07-12 00:00:00.0,ÓR,2009-01-01 00:00:00.0,ÓR
0014,DUFT Í KAFFI,Coffee whitener,,,12.01,12,1,33,,,,,A0123 A0788 B1379 C0222 E0106 F0001 G0003 H0164 H0263 J0136 K0003 M0001 N0001 P0024,,,,,,,,,100,0,,,,,,,,6.250,0.989,,,,,,,,,N,,Innihald: Fitan er jurtafita.,1997-05-26 00:00:00.0,ÓR,2010-01-25 02:03:59.0,
0891,"SKINKUEFNI, hrátt","Pork, for processing, raw",,,07.03,7,3,7,,,,,,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,N,,,1997-02-26 00:00:00.0,ÓR,2009-01-01 00:00:00.0,ÓR
0237,KARTÖFLUMÚS,"Potatoes, mashed",,,05.03,5,3,33,,,,,A0152 A0829 B1218 C0240 E0117 F0014 G0020 H0184 J0001 K0003 M0001 N0001 P0024,,,,,,,,,100,0,,,,,,,,6.250,0.000,,,,,,,,,J,,Úr kartöflum. Uppskrift S258,2003-08-22 00:00:00.0,ÓR,2009-01-01 00:00:00.0,ÓR
0153,RJÓMI,"Cream, fat 36%",,,01.01,1,1,1,,,,,A0148 A0782 B1201 C0161 E0139 F0018 G0003 H0001 J0135 K0003 M0001 N0001 P0024,,,,,,,,,100,0,,,,,,,,6.380,0.840,,,,,,,,,J,,36% fita,1996-11-24 00:00:00.0,ÓR,2009-01-01 00:00:00.0,ÓR
0525,"BRAUÐSAMLOKA, með roastbeef, lauk og majonesi","Sandwich, with roast beef, onion and mayonnaise",,,16.01,16,1,23,,,,,,,,,,,,,,100,0,,,,,,,,0.000,0.000,,,,,,,,,J,,Uppskrift S27,2003-08-20 00:00:00.0,ÓR,2010-05-15 10:13:57.0,
1224,"POPPKORN, örbylgju-, Pop Secret","Pop corn, microwave-, popped, Pop Secret",,,14.01,14,1,30,,,,,,,,,,,,,,100,,,,,,,,,6.250,0.900,,,,,,,,,N,,,2010-01-25 13:08:51.24,,2010-02-01 08:22:14.0,
0510,SKYRHRÆRINGUR,Porridge with skyr,,,01.03,1,3,3,,,,,,,,,,,,,,100,0,,,,,,,,0.000,0.000,,,,,,,,,J,,Án sykurs,1991-04-30 00:00:00.0,ÓR,2009-01-01 00:00:00.0,ÓR
0552,EGGJAKAKA,Omelet,,,16.06,16,6,5,,,,,A0284 A0792 B1713 C0225 E0140 F0014 G0026 H0143 H0184 H0271 H0365 J0001 K0003 M0001 N0001 P0024,,,,,,,,,100,0,,,,,,,,0.000,0.000,,,,,,,,,J,,"Uppskrift skv Við matreiðum,3.útg",1996-06-21 00:00:00.0,ÓR,2009-01-01 00:00:00.0,ÓR
0187,"BAUNIR, grænar, niðursoðnar","Peas, green, canned",Pisum sativum,,05.07,5,7,33,,,,,A0152 A0827 B1001 C0155 E0150 F0014 G0003 H0001 J0123 K0019 M0151 N0016 P0024,,,,,,,,,100,0,,,,,,,,6.250,0.800,,,,,,,,,J,,,1996-11-23 00:00:00.0,ÓR,2009-01-01 00:00:00.0,ÓR
