0419	0021	0,29
0088	0031	2,6
0845	0031	0,4
0883	0037	15
0455	0032	0,
0849	0003	19,4
0910	0040	0,06
0501	0020	0,052
0950	0036	10
0315	0005	0,08
0085	0038	1,4
1087	0033	24
0124	0023	0,03
0374	0039	0,38
0242	0020	6,9
0719	0001	1,0
1099	0016	33,9
0665	0003	0,3
0318	0023	0,090
0289	0023	0,17
0283	0013	0,9
1240	0029	11
0124	0020	0,
0354	0040	0,12
0451	0014	0,
0315	0024	0
0807	0004	0,006
0072	0024	0,17
0377	0008	0,01
0277	0008	0,50
0837	0034	240,
0100	0009	57
0180	0032	0,78
0915	0041	4,9
0786	0031	0,
1122	0032	0
0168	0038	0,17
0623	0039	2,9
0062	0017	1440
1164	0041	1,0
0053	0044	4,6
0257	0036	295,
0568	0023	0,253
0490	0001	17,2
0102	0034	180
1087	0034	34
0085	0010	0,
0100	0137	0,03
1196	0035	6,0
0310	0002	9,7
0777	0023	0,03
1067	0015	2,3
0124	0032	10,7
0289	0006	0,
0388	0036	19,2
0242	0015	2,0
1079	0006	0
0697	0010	3
0383	0044	6,8
0274	0004	8,3
0421	0008	0
0043	0014	0,
0855	0021	0,19
0102	0014	0,
0373	0012	0,
0121	0015	1,2
1110	0040	0,03
0855	0011	0,
0459	0001	0,4
0786	0040	0,071
0684	0005	2,0
0501	0137	0,05
0810	0138	0,01
0586	0008	0,6
0357	0020	3,6
0255	0008	4,0
1016	0008	0
0159	0004	3,1
0252	0002	3,2
0180	0031	0,37
1126	0003	4,0
0341	0021	0,5
0752	0002	8,9
0820	0013	0,
0984	0002	3,3
0267	0040	0,068
0959	0041	62,3
0227	0037	295,
0085	0035	25
0915	0021	0,50
0883	0003	33,9
0284	0012	40,
0464	0035	43,
0438	0003	0,02
0309	0004	3,80
0264	0006	0,
0200	0044	0,1
0461	0034	1,
0200	0031	0,
0341	0002	2,3
0264	0029	0,1
0942	0037	242
1237	0004	0,007
0515	0002	20,3
0459	0034	21,
0821	0001	21,5
0777	0020	0,
0097	0011	0,
0053	0021	0,033
0129	0009	0
0479	0012	0,
0451	0005	0,51
0185	0010	12,7
1079	0005	0,6
0699	0020	3,5
0118	0021	200
0219	0002	17,2
0960	0137	0,37
0821	0138	0,22
0388	0011	0,
0697	0023	0,14
0102	0017	9,0
0704	0002	24,5
0910	0015	0,2
0124	0002	0,5
0353	0137	0,22
0080	0037	130
0118	0031	0,
0227	0024	1,30
0777	0036	1,
0200	0023	0,037
1228	0017	25
0623	0029	69,
0346	0023	0,144
1152	0041	0,7
1215	0023	2,65
0855	0001	19,2
0747	0006	0,36
1240	0012	0
1170	0012	48
0950	0024	0,02
0955	0021	10
0312	0033	20
0719	0033	15,8
0354	0031	0,
0111	0014	4,0
0242	0041	12,4
1125	0017	5,025
0697	0012	1
0585	0029	31
0471	0024	0,161
0625	0032	0,
1110	0008	0
0274	0001	5,9
0277	0040	0,12
0451	0017	0
0264	0036	2
1152	0015	0,97
1143	0038	0,1
0147	0003	2,35
0124	0021	0,1
0585	0034	164,
1133	0013	0,3
0341	0013	4,6
0178	0005	0,51
0154	0038	0,139
1190	0024	0,22
1234	0015	0,2
0121	0020	3,5
0765	0001	1,3
0312	0014	0
0154	0037	88,0
0536	0013	0,2
0248	0003	0,
0760	0017	0
0770	0038	0,06
0856	0023	0,035
0230	0014	0,
0966	0006	0
1029	0024	0,210
0451	0031	0,
0352	0038	0,70
0536	0020	0,54
0592	0004	7,1
0876	0037	76,
0959	0029	10
0143	0031	0,13
0981	0011	1,4
0357	0013	5,3
0752	0034	257,
0942	0031	0
0942	0020	0
1126	0013	0
0252	0010	2,7
0346	0016	22,6
1079	0016	79,6
0174	0005	0,06
0950	0040	0,041
0277	0044	35,
0965	0044	0,4
0245	0016	67,
0367	0036	70,0
1087	0137	8,2
0765	0021	2,2
0775	0031	0,
0855	0014	0,
0547	0035	32
0310	0024	0,15
0264	0016	88,6
0770	0005	0,
1247	0011	1,1
0274	0034	97,7
0174	0023	0,036
0683	0003	0,
1190	0041	1,1
0503	0023	0,040
0925	0028	0,006
0789	0013	1,0
0525	0039	2,1
0966	0011	12,5
0257	0011	32,
1188	0044	1,6
0385	0001	0,4
1112	0040	0,13
0255	0041	1,4
0185	0138	0,1
0118	0028	0,
0267	0020	0,
0351	0036	348
0950	0032	28
1169	0020	0
0353	0028	0,28
1170	0033	5,9
0775	0011	1,2
0088	0020	0
1099	0001	8,3
1245	0001	0,2
0634	0020	0
0547	0032	0
0960	0034	140
1079	0037	208
0322	0031	0,
0322	0003	1,8
0760	0038	0,
0685	0028	0,15
1122	0024	0,32
0442	0023	0,04
0807	0024	0,25
1244	0020	0,077
1012	0037	152
0364	0024	0,011
0353	0004	0,96
0346	0009	0
0848	0014	0,
0436	0012	28
0436	0024	1,4
0346	0031	0,
1109	0039	0
0436	0034	333,
0750	0039	0,3
0471	0032	0,
0518	0040	0,08
0322	0037	487,
0264	0017	0
0421	0011	6,4
0558	0017	19
0242	0002	26,7
0388	0138	1,4
0876	0038	1,0
0354	0024	0,071
0230	0016	75,6
0248	0016	95,9
0255	0020	0
1104	0024	1,0
1016	0040	0,12
0775	0038	0,5
0312	0029	21
0230	0036	171,
0100	0004	0,43
0124	0005	0,2
0374	0002	0,8
0855	0017	0
1079	0023	0,2
0351	0012	6,3
0690	0002	37,
0811	0014	0,
0383	0039	13,2
0699	0016	63,8
0506	0011	45,2
1228	0002	40
0388	0016	5,1
0363	0014	0,
0861	0029	10,
0315	0040	0,16
0811	0041	0,6
0214	0013	1,7
0503	0012	0,
0341	0016	35,6
0649	0021	0,
0445	0013	3,2
0180	0013	0,
1240	0020	0
0585	0009	0
0501	0024	0,43
0357	0036	500
0483	0029	210,
1079	0034	166
0128	0003	0,0
0429	0016	11,7
0364	0006	0
0227	0012	0,
0585	0033	62,
0069	0011	0
0059	0017	4
0338	0040	0,144
0315	0039	0,29
0568	0033	478,
0634	0038	0,09
1164	0038	2,2
1126	0032	0
0059	0036	127,9
0200	0037	190,
0130	0002	0,
0038	0031	1,65
0870	0003	0,1
0059	0024	0,16
0471	0028	0,023
1112	0020	0,1
1112	0041	2,0
0052	0034	158
0315	0001	6,2
1010	0015	0,7
0586	0016	18,2
0568	0036	52,
0950	0028	0,059
0059	0041	15,3
0685	0035	12
0252	0020	0,03
0685	0029	11
0315	0011	43
0760	0031	0,
0761	0017	35,8333
0454	0008	0
0111	0005	0,
0471	0031	0,13
0849	0004	8,4
0038	0002	35
0341	0034	97,3
0683	0015	0,1
0665	0033	17,
0770	0032	0,
0255	0006	0
0479	0023	0,23
0102	0036	80
0775	0017	26,25
0362	0023	0,04
0742	0006	0,
0364	0040	0,028
0169	0003	6,5
0539	0033	73
0363	0017	3,91667
1104	0016	15,5
0179	0021	0,09
0143	0039	0,15
0354	0021	0,27
0179	0034	113,
1236	0029	14,3
0726	0024	0,09
1181	0035	34,3
0421	0006	0
1175	0041	17
0811	0016	88,9
1133	0011	0,3
0363	0013	2,4
0310	0017	0
0317	0033	93,
0518	0034	72
1087	0005	9,1
0373	0039	1,96
0086	0009	80
0585	0032	0
0080	0029	6,0
0353	0016	8,4
0803	0013	0,
0761	0023	0,06
0955	0035	2,2
1011	0011	15
0436	0003	0,9
1237	0029	4
0685	0036	1010,
1237	0039	0,18
0501	0009	20
0708	0013	0,
0623	0005	1,2
0312	0012	13,7
0159	0020	0,10
1215	0002	0
0178	0037	137,
0451	0039	0,63
0224	0038	1,56
0558	0028	0,19
0810	0040	0,01
1112	0034	140
1236	0001	2,71
0406	0021	0,
0518	0006	0,03
0914	0021	0,28
0254	0035	20,
0811	0015	1,1
0565	0032	0
0338	0002	0,98
0169	0008	0,45
1067	0017	2,7
1237	0015	0,75
0811	0036	8,
0684	0038	1,16
1016	0038	1,52
0421	0009	0
0053	0002	1,5
0147	0009	16
0871	0029	58,
1176	0137	13
0396	0014	0,
1175	0137	0,5
0385	0044	0,1
0322	0028	0,213
0883	0005	10,4
0062	0001	9,3
0445	0003	0,377
1080	0040	7
0547	0017	35,25
0353	0029	21,
0531	0002	6,7
1175	0036	250
0960	0008	0,12
0383	0013	15
0388	0009	66
0100	0003	0,48
0803	0034	5,
1237	0010	9,28
0085	0029	5,
0377	0001	  9,7
0501	0001	19,0
1152	0003	14,7
1143	0039	0,15
0277	0016	58,3
0811	0023	0,10
0168	0041	42
1070	0013	0
0178	0032	0,
0006	0008	0,07
0283	0006	0
0910	0002	0,5
0274	0040	0,09
0490	0014	0,
0080	0032	0,
1188	0003	5,4
1080	0015	0,8
0214	0010	1,9
1121	0017	13
0088	0138	0,33
1164	0028	0,14
0159	0036	37,
0351	0032	0,2
